#SampleID	DateOfCollection	TimeOfCollection	Notes	City	Office	OfficeLocation	Row	Surface	TimePoint	TimePointCategory	Cooler
T3W.3.Dr.004	7/9/2013	11:51:00	"DM --- Swab made accidental Contact and rubbed TSW.3.Ca	toronto	3	wall	3	drywall	004	1	1
T1C.3.Ca.005	7/11/2013	11:09:00	DM	toronto	1	ceiling	3	carpet	005	3	3
T1C.3.Ce.005	7/11/2013	11:09:00	DM	toronto	1	ceiling	3	ceiling	005	3	3
T1C.3.Dr.005	7/11/2013	11:08:00	DM	toronto	1	ceiling	3	drywall	005	3	3
T1F.3.Ca.005	7/11/2013	11:16:00	DM *(some glue came off of the carpet sample and stayed on the swab tip)	toronto	1	floor	3	carpet	005	3	3
T1F.3.Ce.005	7/11/2013	11:16:00	DM	toronto	1	floor	3	ceiling	005	3	3
T1F.3.Dr.005	7/11/2013	11:15:00	DM	toronto	1	floor	3	drywall	005	3	3
T1W.3.Ca.005	7/11/2013	11:13:00	DM	toronto	1	wall	3	carpet	005	3	3
T1W.3.Ce.005	7/11/2013	11:13:00	DM	toronto	1	wall	3	ceiling	005	3	3
T1W.3.Dr.005	7/11/2013	11:12:00	DM	toronto	1	wall	3	drywall	005	3	3
T2C.3.Ca.005	7/11/2013	10:58:00	DM	toronto	2	ceiling	3	carpet	005	3	3
T2C.3.Ce.005	7/11/2013	10:57:00	DM	toronto	2	ceiling	3	ceiling	005	3	3
T2C.3.Dr.005	7/11/2013	10:57:00	DM	toronto	2	ceiling	3	drywall	005	3	3
T2F.3.Ca.005	7/11/2013	11:01:00	DM	toronto	2	floor	3	carpet	005	3	3
T2F.3.Ce.005	7/11/2013	11:00:00	DM	toronto	2	floor	3	ceiling	005	3	3
T2F.3.Dr.005	7/11/2013	10:59:00	DM	toronto	2	floor	3	drywall	005	3	3
T2W.3.Ca.005	7/11/2013	10:55:00	DM	toronto	2	wall	3	carpet	005	3	3
T2W.3.Ce.005	7/11/2013	10:55:00	DM	toronto	2	wall	3	ceiling	005	3	3
T2W.3.Dr.005	7/11/2013	10:54:00	DM	toronto	2	wall	3	drywall	005	3	3
T3C.3.Ca.005	7/11/2013	11:38:00	DM	toronto	3	ceiling	3	carpet	005	3	3
T3C.3.Ce.005	7/11/2013	11:38:00	DM	toronto	3	ceiling	3	ceiling	005	3	3
T3C.3.Dr.005	7/11/2013	11:37:00	DM	toronto	3	ceiling	3	drywall	005	3	3
T3F.3.Ca.005	7/11/2013	11:36:00	DM	toronto	3	floor	3	carpet	005	3	3
T3F.3.Ce.005	7/11/2013	11:35:00	DM	toronto	3	floor	3	ceiling	005	3	3
T3F.3.Dr.005	7/11/2013	11:35:00	DM	toronto	3	floor	3	drywall	005	3	3
T3W.3.Ca.005	7/11/2013	11:34:00	DM	toronto	3	wall	3	carpet	005	3	3
T3W.3.Ce.005	7/11/2013	11:33:00	DM	toronto	3	wall	3	ceiling	005	3	3
T3W.3.Dr.005	7/11/2013	11:33:00	DM	toronto	3	wall	3	drywall	005	3	3
T1C.3.Ca.006	7/13/2013	14:34:00	JS	toronto	1	ceiling	3	carpet	006	3	3
T1C.3.Ce.006	7/13/2013	14:35:00	JS	toronto	1	ceiling	3	ceiling	006	3	3
T1C.3.Dr.006	7/13/2013	14:35:00	JS	toronto	1	ceiling	3	drywall	006	3	3
T1F.3.Ca.006	7/13/2013	14:37:00	JS	toronto	1	floor	3	carpet	006	3	3
T1F.3.Ce.006	7/13/2013	14:37:00	JS	toronto	1	floor	3	ceiling	006	3	3
T1F.3.Dr.006	7/13/2013	14:37:00	JS	toronto	1	floor	3	drywall	006	3	3
T1W.3.Ca.006	7/13/2013	14:39:00	JS	toronto	1	wall	3	carpet	006	3	3
T1W.3.Ce.006	7/13/2013	14:38:00	JS	toronto	1	wall	3	ceiling	006	3	3
T1W.3.Dr.006	7/13/2013	14:39:00	JS	toronto	1	wall	3	drywall	006	3	3
T2C.3.Ca.006	7/13/2013	14:10:00	JS	toronto	2	ceiling	3	carpet	006	3	3
T2C.3.Ce.006	7/13/2013	14:09:00	JS	toronto	2	ceiling	3	ceiling	006	3	3
T2C.3.Dr.006	7/13/2013	14:10:00	JS	toronto	2	ceiling	3	drywall	006	3	3
T2F.3.Ca.006	7/13/2013	14:11:00	JS	toronto	2	floor	3	carpet	006	3	3
T2F.3.Ce.006	7/13/2013	14:12:00	JS	toronto	2	floor	3	ceiling	006	3	3
T2F.3.Dr.006	7/13/2013	14:11:00	JS	toronto	2	floor	3	drywall	006	3	3
T2W.3.Ca.006	7/13/2013	14:05:00	JS	toronto	2	wall	3	carpet	006	3	3
T2W.3.Ce.006	7/13/2013	14:07:00	JS	toronto	2	wall	3	ceiling	006	3	3
T2W.3.Dr.006	7/13/2013	14:06:00	JS	toronto	2	wall	3	drywall	006	3	3
T3C.3.Ca.006	7/13/2013	14:21:00	JS	toronto	3	ceiling	3	carpet	006	3	3
T3C.3.Ce.006	7/13/2013	14:22:00	JS	toronto	3	ceiling	3	ceiling	006	3	3
T3C.3.Dr.006	7/13/2013	14:21:00	JS	toronto	3	ceiling	3	drywall	006	3	3
T3F.3.Ca.006	7/13/2013	14:23:00	JS	toronto	3	floor	3	carpet	006	3	3
T3F.3.Ce.006	7/13/2013	14:24:00	JS	toronto	3	floor	3	ceiling	006	3	3
T3F.3.Dr.006	7/13/2013	14:23:00	JS	toronto	3	floor	3	drywall	006	3	3
T3W.3.Ca.006	7/13/2013	14:25:00	JS	toronto	3	wall	3	carpet	006	3	3
T3W.3.Ce.006	7/13/2013	14:25:00	JS	toronto	3	wall	3	ceiling	006	3	3
T3W.3.Dr.006	7/13/2013	14:25:00	JS	toronto	3	wall	3	drywall	006	3	3
T1C.3.Ca.007	7/15/2013	13:41:00	"JS accidentally started swiping row 2 (about 3 inches of contact)	toronto	1	ceiling	3	carpet	007	2	3
T1C.3.Ce.007	7/15/2013	13:41:00	"JS accidentally started swiping row 2 (about 3 inches of contact)	toronto	1	ceiling	3	ceiling	007	2	3
T1C.3.Dr.007	7/15/2013	13:41:00	"JS accidentally started swiping row 2 (about 3 inches of contact)	toronto	1	ceiling	3	drywall	007	2	3
T1F.3.Ca.007	7/15/2013	13:46:00	JS	toronto	1	floor	3	carpet	007	2	3
T1F.3.Ce.007	7/15/2013	13:46:00	JS	toronto	1	floor	3	ceiling	007	2	3
T1F.3.Dr.007	7/15/2013	13:46:00	JS	toronto	1	floor	3	drywall	007	2	3
T1W.3.Ca.007	7/15/2013	13:44:00	JS	toronto	1	wall	3	carpet	007	2	3
T1W.3.Ce.007	7/15/2013	13:44:00	JS	toronto	1	wall	3	ceiling	007	2	3
T1W.3.Dr.007	7/15/2013	13:44:00	JS	toronto	1	wall	3	drywall	007	2	3
T2C.3.Ca.007	7/15/2013	13:24:00	JS	toronto	2	ceiling	3	carpet	007	2	3
T2C.3.Ce.007	7/15/2013	13:24:00	JS	toronto	2	ceiling	3	ceiling	007	2	3
T2C.3.Dr.007	7/15/2013	13:24:00	JS	toronto	2	ceiling	3	drywall	007	2	3
T2F.3.Ca.007	7/15/2013	13:28:00	JS	toronto	2	floor	3	carpet	007	2	3
T2F.3.Ce.007	7/15/2013	13:28:00	JS	toronto	2	floor	3	ceiling	007	2	3
T2F.3.Dr.007	7/15/2013	13:28:00	JS	toronto	2	floor	3	drywall	007	2	3
T2W.3.Ca.007	7/15/2013	13:26:00	JS	toronto	2	wall	3	carpet	007	2	3
T2W.3.Ce.007	7/15/2013	13:26:00	JS	toronto	2	wall	3	ceiling	007	2	3
T2W.3.Dr.007	7/15/2013	13:26:00	JS	toronto	2	wall	3	drywall	007	2	3
T3C.3.Ca.007	7/15/2013	13:56:00	JS	toronto	3	ceiling	3	carpet	007	2	3
T3C.3.Ce.007	7/15/2013	13:56:00	JS	toronto	3	ceiling	3	ceiling	007	2	3
T3C.3.Dr.007	7/15/2013	13:56:00	JS	toronto	3	ceiling	3	drywall	007	2	3
T3F.3.Ca.007	7/15/2013	14:00:00	JS	toronto	3	floor	3	carpet	007	2	3
T3F.3.Ce.007	7/15/2013	14:00:00	JS	toronto	3	floor	3	ceiling	007	2	3
T3F.3.Dr.007	7/15/2013	14:00:00	JS	toronto	3	floor	3	drywall	007	2	3
T3W.3.Ca.007	7/15/2013	14:01:00	JS	toronto	3	wall	3	carpet	007	2	3
T3W.3.Ce.007	7/15/2013	14:01:00	JS	toronto	3	wall	3	ceiling	007	2	3
T3W.3.Dr.007	7/15/2013	14:01:00	JS	toronto	3	wall	3	drywall	007	2	3
T1C.3.Ca.008	7/17/2013	10:56:00	DM	toronto	1	ceiling	3	carpet	008	2	3
T1C.3.Ce.008	7/17/2013	10:57:00	DM	toronto	1	ceiling	3	ceiling	008	2	3
